date,CountryCode,EventCount,AvgTone,AvgGoldstein,anomaly_score,anomaly_label
2025-11-11,PK,3042,-5.080812147314963,-1.362820512820513,-0.09450195402747497,-1
2025-11-17,BG,3227,-7.540366644056722,-1.892035946699721,-0.08571585507046653,-1
2025-10-08,EC,783,-6.099418584288601,-2.59029374201788,-0.08107936726457443,-1
2025-10-09,IS,20524,-1.2059868653556653,1.4538247904891843,-0.07444425860913229,-1
2025-12-06,MC,1,-5.0,7.4,-0.07008950193828634,-1
2025-12-10,NC,2,4.438420339792435,5.5,-0.06417403956761236,-1
2025-10-26,TH,1963,0.4675063531579007,3.662455425369332,-0.06284505335538304,-1
2025-12-29,TW,1357,-2.8780680797269365,-1.473249815770081,-0.06086510172879944,-1
2025-12-23,LY,733,-2.868891343142559,1.9199181446111873,-0.05798543136853507,-1
2025-10-26,CB,1673,0.27449007504565476,3.4301852958756722,-0.057273393523867844,-1
2025-12-26,NI,5751,-3.7080344968521444,-1.5714310554686146,-0.055421480366844356,-1
2025-12-08,CB,1868,-6.3531436853879395,-1.9275160599571723,-0.055195992934898075,-1
2025-12-19,PO,1530,-3.4535160813275874,-1.3254901960784327,-0.052617423538997676,-1
2025-11-11,AF,1167,-5.124458415574591,-0.9789203084832909,-0.052137516082436,-1
2025-11-17,SA,2132,-1.387335533164119,2.130675422138837,-0.04974862474519215,-1
2025-10-10,PE,1244,-4.437794390740997,-0.1125401929260446,-0.04937903858375159,-1
2025-11-28,SY,1602,-5.69691174853631,-2.4839575530586746,-0.0473186135265351,-1
2025-11-01,NU,483,-7.0535169257194,-0.7966873706004145,-0.04675875547664776,-1
2025-12-14,AS,7960,-5.898338525199476,-2.116444723618089,-0.04659471657542669,-1
2025-12-03,YM,672,-4.050668126807747,-3.2840773809523816,-0.046549782325812195,-1
2025-12-08,TH,2185,-5.912024996599776,-2.037848970251713,-0.04648640355751277,-1
2025-12-27,PU,1,3.82165605095542,-6.5,-0.0456136455222913,-1
2025-10-25,BC,5,4.794420652073032,6.279999999999999,-0.04538260957313689,-1
2025-10-13,WE,1400,-4.461191461815683,1.818285714285715,-0.0447036501146344,-1
2025-11-23,LA,7,-5.366108456127847,2.885714285714286,-0.04427641849859787,-1
2025-11-05,LY,574,-4.103928945131953,0.3275261324041814,-0.04418101205559877,-1
2025-10-13,CU,686,-4.053490417127457,1.450583090379009,-0.04368467521040442,-1
2025-10-28,GZ,565,-5.889411217046562,-1.6559292035398228,-0.04264504120154078,-1
2025-12-22,GL,841,1.7147797890189214,0.6544589774078476,-0.042053653469298014,-1
2025-12-19,BG,2135,-5.937862176328004,-1.884918032786884,-0.04202762578503949,-1
2025-11-02,NI,3904,-3.7086644735846375,-0.9354252049180332,-0.040663861358497644,-1
2025-10-10,VE,3536,0.4995276300369692,0.6741798642533938,-0.04055816793815192,-1
2025-10-08,ER,79,-5.852120303686247,-1.329113924050633,-0.040444295195120716,-1
2025-11-25,AF,1337,-5.914645376190593,-1.9784592370979803,-0.0400241388566156,-1
2025-10-20,BL,589,0.9652080010425904,1.4400679117147708,-0.039110778002929725,-1
2025-10-27,CM,735,-5.151988604077433,-2.877414965986394,-0.03889772482224252,-1
2025-11-06,KT,45,0.7158366804062867,2.7888888888888888,-0.03810229862211234,-1
2025-12-16,RP,1596,-2.9504600864842874,-0.24699248120300626,-0.03796727773632602,-1
2025-11-16,GL,13,-3.266118816113166,-1.146153846153846,-0.037374189925959755,-1
2025-10-16,YM,514,-3.9814154389546927,-2.045330739299611,-0.036340063007698986,-1
2025-11-26,HK,381,-3.8523872625066455,-0.32939632545931746,-0.03630582786257308,-1
2025-12-27,AC,3,2.71559976363789,-3.3666666666666667,-0.036274440093706284,-1
2025-11-24,NS,72,2.036705272273279,1.0958333333333334,-0.03620960847379451,-1
2025-10-21,AN,45,-0.822877356221471,0.4155555555555556,-0.03583207968401192,-1
2025-12-28,HA,26,-4.6347914705477375,-1.2846153846153845,-0.03552868029761713,-1
2025-12-15,HK,831,-5.551531605082333,0.11468110709988015,-0.03528846921299589,-1
2025-11-02,GQ,12,-2.809488304012273,6.400000000000001,-0.03506362820243292,-1
2025-12-04,DJ,118,-2.2957825463949213,-0.7847457627118644,-0.03431557871974589,-1
2025-12-22,ES,613,-4.522966852725451,-0.025448613376835273,-0.03425091471550068,-1
2025-11-05,AG,530,-3.8552021685892965,1.7990566037735851,-0.03376582747527812,-1
